Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,27,2293.0,42.31,2.572,211.0963582,8.106
2010-02-12,1,27,2339.5,38.51,2.548,211.2421698,8.106
2010-02-19,0,27,2494.5,39.93,2.514,211.2891429,8.106
2010-02-26,0,27,1666.75,46.63,2.561,211.3196429,8.106
2010-03-05,0,27,1467.5,46.5,2.625,211.3501429,8.106
2010-03-12,0,27,1130.0,57.79,2.667,211.3806429,8.106
2010-03-19,0,27,1214.0,54.58,2.72,211.215635,8.106
2010-03-26,0,27,1211.0,51.45,2.732,211.0180424,8.106
2010-04-02,0,27,934.5,62.27,2.719,210.8204499,7.808
2010-04-09,0,27,1111.25,65.86,2.77,210.6228574,7.808
2010-04-16,0,27,1021.5,66.32,2.808,210.4887,7.808
2010-04-23,0,27,1028.0,64.84,2.795,210.4391228,7.808
2010-04-30,0,27,1061.29,67.41,2.78,210.3895456,7.808
2010-05-07,0,27,966.75,72.55,2.835,210.3399684,7.808
2010-05-14,0,27,1139.35,74.78,2.854,210.3374261,7.808
2010-05-21,0,27,957.93,76.44,2.826,210.6170934,7.808
2010-05-28,0,27,864.92,80.44,2.759,210.8967606,7.808
2010-06-04,0,27,827.52,80.69,2.705,211.1764278,7.808
2010-06-11,0,27,965.3,80.43,2.668,211.4560951,7.808
2010-06-18,0,27,875.85,84.11,2.637,211.4537719,7.808
2010-06-25,0,27,935.32,84.34,2.653,211.3386526,7.808
2010-07-02,0,27,849.69,80.91,2.669,211.2235333,7.787
2010-07-09,0,27,837.51,80.48,2.642,211.108414,7.787
2010-07-16,0,27,897.88,83.15,2.623,211.1003854,7.787
2010-07-23,0,27,819.8,83.36,2.608,211.2351443,7.787
2010-07-30,0,27,882.13,81.84,2.64,211.3699032,7.787
2010-08-06,0,27,1317.52,87.16,2.627,211.5046621,7.787
2010-08-13,0,27,967.53,87.0,2.692,211.6394211,7.787
2010-08-20,0,27,1737.89,86.65,2.664,211.6033633,7.787
2010-08-27,0,27,1898.48,85.22,2.619,211.5673056,7.787
2010-09-03,0,27,867.29,81.21,2.577,211.5312479,7.787
2010-09-10,1,27,832.26,78.69,2.565,211.4951902,7.787
2010-09-17,0,27,728.02,82.11,2.582,211.5224596,7.787
2010-09-24,0,27,791.7,80.94,2.624,211.5972246,7.787
2010-10-01,0,27,1042.3,71.89,2.603,211.6719895,7.838
2010-10-08,0,27,1427.0,63.93,2.633,211.7467544,7.838
2010-10-15,0,27,1208.8,67.18,2.72,211.8137436,7.838
2010-10-22,0,27,1186.4,69.86,2.725,211.8612937,7.838
2010-10-29,0,27,1371.4,69.64,2.716,211.9088438,7.838
2010-11-05,0,27,1654.8,58.74,2.689,211.9563939,7.838
2010-11-12,0,27,1474.2,59.61,2.728,212.003944,7.838
2010-11-19,0,27,1884.6,51.41,2.771,211.8896737,7.838
2010-11-26,1,27,2099.1,64.52,2.735,211.7484333,7.838
2010-12-03,0,27,2385.59,49.27,2.708,211.607193,7.838
2010-12-10,0,27,3035.7,46.33,2.843,211.4659526,7.838
2010-12-17,0,27,3190.2,49.84,2.869,211.4053124,7.838
2010-12-24,0,27,4168.6,52.33,2.886,211.4051222,7.838
2010-12-31,1,27,1624.8,48.43,2.943,211.4049321,7.838
2011-01-07,0,27,1562.57,48.27,2.976,211.4047419,7.742
2011-01-14,0,27,1606.24,35.4,2.983,211.4574109,7.742
2011-01-21,0,27,1312.55,44.04,3.016,211.8272343,7.742
2011-01-28,0,27,1320.18,43.83,3.01,212.1970577,7.742
2011-02-04,0,27,2096.94,42.27,2.989,212.5668812,7.742
